Driver,LapNumber,LapTime,Compound,TyreLife,Position,Time,PitInTime,PittedThisLap,TrackStatus,LapSeconds,PersonalDelta,CumSeconds,Interval
ANT,5.0,0 days 00:01:16.661000,MEDIUM,5.0,1.0,0 days 01:01:50.749000,,False,1,76.661,-0.38700000000000045,3710.749,0.0
ANT,6.0,0 days 00:01:16.723000,MEDIUM,6.0,1.0,0 days 01:03:07.472000,,False,1,76.723,0.06199999999999761,3787.472,0.0
ANT,7.0,0 days 00:01:16.050000,MEDIUM,7.0,1.0,0 days 01:04:23.522000,,False,1,76.05,-0.6730000000000018,3863.522,0.0
ANT,8.0,0 days 00:01:16.284000,MEDIUM,8.0,1.0,0 days 01:05:39.806000,,False,1,76.284,0.23400000000000887,3939.806,0.0
ANT,9.0,0 days 00:01:16.298000,MEDIUM,9.0,1.0,0 days 01:06:56.104000,,False,1,76.298,0.013999999999995794,4016.104,0.0
ANT,10.0,0 days 00:01:17.067000,MEDIUM,10.0,1.0,0 days 01:08:13.171000,,False,1,77.067,0.7689999999999912,4093.171,0.0
ANT,11.0,0 days 00:01:18.223000,MEDIUM,11.0,1.0,0 days 01:09:31.394000,,False,1,78.223,1.156000000000006,4171.394,0.0
ANT,12.0,0 days 00:01:17.430000,MEDIUM,12.0,1.0,0 days 01:10:48.824000,,False,1,77.43,-0.7929999999999922,4248.824,0.0
ANT,13.0,0 days 00:01:17.313000,MEDIUM,13.0,1.0,0 days 01:12:06.137000,,False,1,77.313,-0.11700000000000443,4326.137,0.0
ANT,14.0,0 days 00:01:17.222000,MEDIUM,14.0,1.0,0 days 01:13:23.359000,,False,1,77.222,-0.09100000000000819,4403.359,0.0
